Experiment ID                :  dynamiclandscapes
Problem Type                 :  DL1
Data Input File Name         :  NA
Number of Runs               :  10
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  1
Crossover Rate               :  0.8
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75982
Number of Genes/Points       :  1
Size of Genes                :  32


 R   1 G   0#######     35.567     32.331
 R   1 G   1#######     37.978     29.592
 R   1 G   2#######     37.894     27.428
 R   1 G   3#######     38.221     29.636
 R   1 G   4#######     39.519     33.139
 R   1 G   5#######     36.522     30.715
 R   1 G   6#######      40.98      34.48
 R   1 G   7#######     36.362     28.656
 R   1 G   8#######     34.924     21.012
 R   1 G   9#######     34.285     22.452
 R   1 G  10#######      32.51     22.183
 R   1 G  11#######     33.133     30.049
 R   1 G  12#######     31.352     22.675
 R   1 G  13#######     30.758     22.084
 R   1 G  14#######     33.166     22.175
 R   1 G  15#######     32.771     25.028
 R   1 G  16#######     32.344     22.802
 R   1 G  17#######     32.582     24.823
 R   1 G  18#######     32.601     25.078
 R   1 G  19#######     35.696     29.023
 R   1 G  20#######     36.588     26.748
 R   1 G  21#######     38.412     30.622
 R   1 G  22#######     35.919     26.258
 R   1 G  23#######     34.478     23.714
 R   1 G  24#######     33.244     23.529
 R   1 G  25#######      30.79     21.198
 R   1 G  26#######      33.88     25.562
 R   1 G  27#######       37.2     26.072
 R   1 G  28#######     37.472     27.656
 R   1 G  29#######       36.5      25.08
 R   1 G  30#######     36.856       24.0
 R   1 G  31#######     33.317     20.564
 R   1 G  32#######     31.318      21.37
 R   1 G  33#######     35.122     21.915
 R   1 G  34#######     35.907     26.627
 R   1 G  35#######     39.741      27.63
 R   1 G  36#######     41.028     30.642
 R   1 G  37#######     38.812     33.857
 R   1 G  38#######     37.401     29.215
 R   1 G  39#######     41.076     33.779
 R   1 G  40#######     39.763      31.85
 R   1 G  41#######     41.549     35.446
 R   1 G  42#######     37.635     33.931
 R   1 G  43#######      34.18     36.476
 R   1 G  44#######     28.904     36.966
 R   1 G  45#######     30.318     33.961
 R   1 G  46#######     31.056      38.51
 R   1 G  47#######     30.797      35.68
 R   1 G  48#######     37.975     40.291
 R   1 G  49#######     41.458     43.544
 R   1 G  50#######     32.365     33.845
 R   1 G  51#######     31.793     32.412
 R   1 G  52#######     37.404     44.268
 R   1 G  53#######     41.156     45.782
 R   1 G  54#######     36.033     45.634
 R   1 G  55#######     34.608     41.787
 R   1 G  56#######     27.509     33.748
 R   1 G  57#######     35.594     41.202
 R   1 G  58#######     31.333      45.71
 R   1 G  59#######     33.197     45.854
 R   1 G  60#######     31.904     42.352
 R   1 G  61#######      26.88     36.205
 R   1 G  62#######     27.148     31.536
 R   1 G  63#######     27.603     34.642
 R   1 G  64#######     32.279     35.695
 R   1 G  65#######     26.912      31.47
 R   1 G  66#######     27.086     31.647
 R   1 G  67#######     30.058     34.168
 R   1 G  68#######      30.43     31.426
 R   1 G  69#######     33.028     40.381
 R   1 G  70#######     31.963      35.57
 R   1 G  71#######     34.342     43.326
 R   1 G  72#######     32.243     41.082
 R   1 G  73#######     26.267     35.721
 R   1 G  74#######     25.054     35.778
 R   1 G  75#######     25.142     38.184
 R   1 G  76#######     19.361     31.695
 R   1 G  77#######     20.227     37.004
 R   1 G  78#######     25.121     39.462
 R   1 G  79#######      29.53     36.224
 R   1 G  80#######      31.38     38.054
 R   1 G  81#######     28.857     38.728
 R   1 G  82#######     27.214     36.428
 R   1 G  83#######     29.795     39.964
 R   1 G  84#######     28.608     41.424
 R   1 G  85#######     30.998     46.757
 R   1 G  86#######     30.455     45.749
 R   1 G  87#######     29.066      42.37
 R   1 G  88#######     35.002     42.699
 R   1 G  89#######     41.219     46.084
 R   1 G  90#######      42.54     47.388
 R   1 G  91#######     45.835     45.223
 R   1 G  92#######     36.689     39.562
 R   1 G  93#######     31.296     36.245
 R   1 G  94#######     31.853     32.571
 R   1 G  95#######     32.102     28.448
 R   1 G  96#######     35.942      30.12
 R   1 G  97#######     42.761     36.776
 R   1 G  98#######     50.968     44.515
 R   1 G  99#######     54.357     43.452
 R   1 G 100#######     47.239     36.314
 R   1 G 101#######     48.101     39.013
 R   1 G 102#######     52.244     39.422
 R   1 G 103#######     54.994     41.673
 R   1 G 104#######     54.735     42.961
 R   1 G 105#######     53.915     42.864
 R   1 G 106#######     53.446     43.562
 R   1 G 107#######     60.574     47.273
 R   1 G 108#######     62.252     47.451
 R   1 G 109#######      61.36     45.964
 R   1 G 110#######     54.484     43.237
 R   1 G 111#######      56.76     46.997
 R   1 G 112#######     59.236     45.924
 R   1 G 113#######     52.709     44.217
 R   1 G 114#######     47.812     41.769
 R   1 G 115#######     46.638     43.657
 R   1 G 116#######     47.198     39.166
 R   1 G 117#######     40.158     39.347
 R   1 G 118#######       49.5     45.325
 R   1 G 119#######     43.013     43.961
 R   1 G 120#######     40.291      39.27
 R   1 G 121#######     40.206     38.826
 R   1 G 122#######     41.525     39.083
 R   1 G 123#######     37.968     34.918
 R   1 G 124#######     44.122     38.023
 R   1 G 125#######     43.838     37.492
 R   1 G 126#######     46.705     41.315
 R   1 G 127#######     40.562     37.657
 R   1 G 128#######     41.422     32.154
 R   1 G 129#######     43.183     33.352
 R   1 G 130#######     41.476     29.351
 R   1 G 131#######     46.557     31.878
 R   1 G 132#######     45.703     30.376
 R   1 G 133#######     43.571     27.672
 R   1 G 134#######     44.864     30.285
 R   1 G 135#######     41.865      23.67
 R   1 G 136#######      42.06     24.654
 R   1 G 137#######     42.792     28.502
 R   1 G 138#######     43.642     29.373
 R   1 G 139#######     43.723     26.502
 R   1 G 140#######     41.754     30.381
 R   1 G 141#######      36.58     17.082
 R   1 G 142#######      37.03     16.847
 R   1 G 143#######     37.704     17.822
 R   1 G 144#######     37.262     17.623
 R   1 G 145#######     38.718     19.649
 R   1 G 146#######     41.711     23.717
 R   1 G 147#######     38.401     15.549
 R   1 G 148#######     35.024     15.108
 R   1 G 149#######     37.357     15.774
 R   1 G 150#######     40.124     14.141
 R   1 G 151#######     39.035     14.243
 R   1 G 152#######     38.806     15.222
 R   1 G 153#######     40.127     18.432
 R   1 G 154#######     39.928     19.605
 R   1 G 155#######     44.057     24.892
 R   1 G 156#######     44.283     23.973
 R   1 G 157#######     41.363     14.994
 R   1 G 158#######     43.874      17.53
 R   1 G 159#######      43.64     20.018
 R   1 G 160#######     42.589     19.571
 R   1 G 161#######     37.358     16.258
 R   1 G 162#######     38.329     15.997
 R   1 G 163#######     42.236     17.182
 R   1 G 164#######       41.6     19.909
 R   1 G 165#######     42.181     20.454
 R   1 G 166#######     43.411     24.842
 R   1 G 167#######     40.374     17.032
 R   1 G 168#######     42.239     20.977
 R   1 G 169#######     44.965     22.246
 R   1 G 170#######     44.751     20.093
 R   1 G 171#######     43.755     20.314
 R   1 G 172#######     39.727     13.657
 R   1 G 173#######     40.925     14.962
 R   1 G 174#######     42.089     13.258
 R   1 G 175#######      43.45     16.301
 R   1 G 176#######     44.858     17.397
 R   1 G 177#######     45.218     16.844
 R   1 G 178#######     45.263     15.446
 R   1 G 179#######     41.876     15.225
 R   1 G 180#######      42.37     18.852
 R   1 G 181#######     40.334     18.686
 R   1 G 182#######     42.343     18.214
 R   1 G 183#######     44.967     19.306
 R   1 G 184#######     46.165     20.411
 R   1 G 185#######     47.338     24.067
 R   1 G 186#######     42.548     25.732
 R   1 G 187#######      38.73     24.689
 R   1 G 188#######     42.598     24.661
 R   1 G 189#######     39.479     20.107
 R   1 G 190#######     40.989     22.799
 R   1 G 191#######     43.247     29.561
 R   1 G 192#######       40.4     27.578
 R   1 G 193#######      44.05      35.18
 R   1 G 194#######      44.27     34.344
 R   1 G 195#######     45.269      38.45
 R   1 G 196#######     44.094     34.753
 R   1 G 197#######     50.339      38.28
 R   1 G 198#######     53.194     42.278
 R   1 G 199#######     47.924     34.683
1.0  6.0###########   RawFitness
          640813652#############

 R   2 G   0#######     39.047     36.114
 R   2 G   1#######     41.953     41.637
 R   2 G   2#######     38.919     40.821
 R   2 G   3#######     42.948     47.103
 R   2 G   4#######     42.966     48.446
 R   2 G   5#######     54.902     56.506
 R   2 G   6#######     53.213     54.886
 R   2 G   7#######     55.579     56.579
 R   2 G   8#######     65.537     62.539
 R   2 G   9#######     56.291     61.689
 R   2 G  10#######     73.774     62.751
 R   2 G  11#######     76.447     62.007
 R   2 G  12#######     74.115     58.878
 R   2 G  13#######     73.787     59.247
 R   2 G  14#######     77.713     54.824
 R   2 G  15#######     77.083     57.914
 R   2 G  16#######     77.853     60.777
 R   2 G  17#######     72.664     63.248
 R   2 G  18#######     60.665     58.573
 R   2 G  19#######     60.332     59.324
 R   2 G  20#######     57.496     59.767
 R   2 G  21#######     53.856     54.681
 R   2 G  22#######     55.089     52.286
 R   2 G  23#######     53.569      51.01
 R   2 G  24#######     54.976     52.903
 R   2 G  25#######     54.366     51.404
 R   2 G  26#######     58.953     52.604
 R   2 G  27#######     47.516     51.667
 R   2 G  28#######     38.471     44.972
 R   2 G  29#######     34.178      45.03
 R   2 G  30#######     38.637     42.517
 R   2 G  31#######     46.982       47.6
